,miRNA,disease,label
0,1,1,1
36,1,37,1
49,1,50,1
53,1,54,1
58,1,59,1
60,1,61,1
64,1,65,1
91,1,92,1
119,1,120,1
158,1,159,1
162,1,163,1
168,1,169,1
173,1,174,1
209,1,210,1
235,1,236,1
239,1,240,1
251,1,252,1
252,1,253,1
261,1,262,1
268,1,269,1
281,1,282,1
303,1,304,1
335,1,336,1
338,1,339,1
340,1,341,1
349,1,350,1
363,1,364,1
383,2,1,1
388,2,6,1
393,2,11,1
423,2,41,1
432,2,50,1
441,2,59,1
443,2,61,1
445,2,63,1
450,2,68,1
458,2,76,1
475,2,93,1
477,2,95,1
479,2,97,1
508,2,126,1
524,2,142,1
529,2,147,1
538,2,156,1
545,2,163,1
553,2,171,1
582,2,200,1
601,2,219,1
618,2,236,1
635,2,253,1
639,2,257,1
640,2,258,1
689,2,307,1
714,2,332,1
746,2,364,1
759,2,377,1
760,2,378,1
763,2,381,1
766,3,1,1
797,3,32,1
815,3,50,1
824,3,59,1
826,3,61,1
830,3,65,1
833,3,68,1
858,3,93,1
860,3,95,1
891,3,126,1
924,3,159,1
928,3,163,1
1001,3,236,1
1005,3,240,1
1036,3,271,1
1039,3,274,1
1069,3,304,1
1097,3,332,1
1141,3,376,1
1150,4,2,1
1207,4,59,1
1243,4,95,1
1384,4,236,1
1386,4,238,1
1387,4,239,1
1476,4,328,1
1501,4,353,1
1533,5,2,1
1547,5,16,1
1557,5,26,1
1574,5,43,1
1581,5,50,1
1590,5,59,1
1623,5,92,1
1624,5,93,1
1628,5,97,1
1639,5,108,1
1652,5,121,1
1666,5,135,1
1676,5,145,1
1694,5,163,1
1700,5,169,1
1702,5,171,1
1707,5,176,1
1722,5,191,1
1724,5,193,1
1728,5,197,1
1733,5,202,1
1747,5,216,1
1750,5,219,1
1751,5,220,1
1758,5,227,1
1760,5,229,1
1763,5,232,1
1767,5,236,1
1772,5,241,1
1784,5,253,1
1786,5,255,1
1788,5,257,1
1792,5,261,1
1795,5,264,1
1802,5,271,1
1806,5,275,1
1813,5,282,1
1833,5,302,1
1835,5,304,1
1841,5,310,1
1852,5,321,1
1859,5,328,1
1872,5,341,1
1873,5,342,1
1884,5,353,1
1885,5,354,1
1886,5,355,1
1895,5,364,1
1907,5,376,1
1916,6,2,1
1930,6,16,1
1940,6,26,1
1949,6,35,1
1957,6,43,1
1964,6,50,1
1973,6,59,1
1975,6,61,1
1978,6,64,1
2001,6,87,1
2006,6,92,1
2022,6,108,1
2037,6,123,1
2049,6,135,1
2077,6,163,1
2085,6,171,1
2112,6,198,1
2116,6,202,1
2130,6,216,1
2133,6,219,1
2134,6,220,1
2141,6,227,1
2143,6,229,1
2150,6,236,1
2151,6,237,1
2155,6,241,1
2167,6,253,1
2174,6,260,1
2175,6,261,1
2178,6,264,1
2185,6,271,1
2193,6,279,1
2196,6,282,1
2202,6,288,1
2216,6,302,1
2218,6,304,1
2221,6,307,1
2224,6,310,1
2235,6,321,1
2237,6,323,1
2242,6,328,1
2255,6,341,1
2256,6,342,1
2267,6,353,1
2269,6,355,1
2291,6,377,1
2300,7,3,1
2303,7,6,1
